進貨日期,客戶,鍛品來源,貨單編號,-,材質,品名,幾分 ×,規格,× 幾角, 數量 ,件數, 加工,圖號,下一關,備註,出貨狀況,K,B,出貨數量,數量尚有, 次批數量 ,出貨總數量,數量差,原因,總重,桶重,單重,換算數量
114/01/16,杰毅,興信入,AD224123001-05,-4,50BV30,短套,1/2 ×,19,× 12R,"                 1,200 ",3B,RO削花溝珠溝,,,,? 出貨完畢,,,,,,,,,,,,
114/01/16,杰毅,興信入,AD224123001-05,-5,50BV30,短套,1/2 ×,21,× 12R,"                 3,150 ",9B,RO削花溝珠溝,,,,? 出貨完畢,,,,,,,,,,,,
114/01/16,杰毅,興信入,AD224123001-05,-6,50BV30,短套,1/2 ×,12,× 6R,"                 1,500 ",3B,RO,,,,? 出貨完畢,,,,,,,,,,,,
114/01/16,杰毅,興信入,AD224123001-05,-7,50BV30,短套,1/2 ×,13,× 6R,"                 2,000 ",4B,RO雙溝,,,,-,,,,,,,,,,,,
114/01/16,杰毅,興信入,AD224123001-05,-8,50BV30,短套,1/2 ×,14,× 6R,"                 3,000 ",6B,RO,,,,? 出貨完畢,,,,,,,,,,,,
114/01/16,杰毅,興信入,AD224123001-05,-9,50BV30,短套,1/2 ×,17,× 6R,"                 2,250 ",5B,RO雙溝,,,,? 出貨完畢,,,,,,,,,,,,
114/01/16,杰毅,興信入,AD224123001-05,-10,50BV30,短套,1/2 ×,19,× 6R,"                 2,400 ",6B,RO雙溝,,,,? 出貨完畢,,,"            2,470 ",,,,,,,,,
114/01/16,杰毅,興信入,AD224123001-05,-11,50BV30,短套,1/2 ×,20,× 6R,                     350 ,1B,RO雙溝,,,,? 出貨完畢,,,,,,,,,,,,
114/01/16,杰毅,興信入,AD224123001-05,-12,50BV30,短套,1/2 ×,21,× 6R,"                 1,050 ",3B,RO雙溝,,,,? 出貨完畢,,,,,,,,,,,,
114/01/17,鉅朋,鉅朋入,001691,-1,50BV30,短汽,1/2 ×,9/16,× 6R,                     500 ,1K,車汽動溝,,,,? 出貨完畢,,,,,,,,,,,,
114/01/20,筌振,得利入,001541,-1,50BV30,短套,3/4 ×,27,× 6R,"                 3,100 ",4K,反R無珠溝,,,,? 出貨完畢,,,,,,,,,,,,
114/01/20,六宏,六宏入,001042,-1,50BV30,短汽,1/2 ×,23,× 6R,"                 1,250 ",1K,雙孔,,,,? 出貨完畢,,,,,,,,,,,,
114/01/21,杰毅,杰毅入,20250121,-1,50BV30,HBS,1/2 ×,5/16,× 6R,"                 1,000 ",1K,正R削花色珠溝,,,,? 出貨完畢,,,,,,,,,,,,
114/01/21,杰毅,杰毅入,20250121,-2,50BV30,HBS,1/2 ×,10,× 6R,"                 3,000 ",1K,正R削花色珠溝,,,整批急件??,? 出貨完畢,,,,,,,,,,,,
114/01/21,杰毅,杰毅入,20250121,-3,50BV30,HBS,1/2 ×,12,× 6R,                     600 ,1K,正R削花色珠溝,,,,? 出貨完畢,,,,,,,,,,,,
114/01/21,偉順,偉順入,001297,-1,50BV30,短套,1/2 ×,15,× 12R,"                 1,281 ",1K,直型大雙溝,,偉順,114002,,,,,,,,,,,,,
114/01/21,偉順,偉順入,001297,-2,50BV30,短套,1/2 ×,15,× 12R,                     200 ,1K,直型一溝,114/02/24,杰霖,114002,? 出貨完畢,,,,,,,,,,,,
114/01/21,偉順,偉順入,001297,-3,50BV30,短套,1/2 ×,15,× 12R,                     500 ,,直型一溝,,偉順,114002,,,,,,,,,,,,,
114/01/21,偉順,偉順入,001298,-1,50BV30,短套,1/2 ×,30,× 12R,                     100 ,1K,改反R一溝,114/02/24,杰霖,114002,,,,,,,,,,,,,
114/01/21,偉順,偉順入,001298,-2,50BV30,短套,1/2 ×,30,× 12R,                     309 ,,改反R一溝,,偉順,114002,,,,,,,,,,,,,
